PLATFORM_NUMBER,latitude,longitude,time,TEMP,PSAL,PRES,TEMP_QC
,degrees_north,degrees_east,UTC,degree_Celsius,PSU,decibar,
2902236,16.9,88.36666666666666,2019-03-01T01:08:16Z,27.499,32.97,0.4,1
2902236,16.9,88.36666666666666,2019-03-01T01:08:16Z,27.496,32.964,1.2,1
2902236,16.9,88.36666666666666,2019-03-01T01:08:16Z,27.5,32.956,1.9,1
2902236,16.9,88.36666666666666,2019-03-01T01:08:16Z,27.495,32.953,2.7,1
2902236,16.9,88.36666666666666,2019-03-01T01:08:16Z,27.493,32.979,3.9,1
2902236,16.9,88.36666666666666,2019-03-01T01:08:16Z,27.328,32.977,5.3,1
2902264,15.34824,85.53313333333334,2019-03-01T17:22:00Z,27.493,33.007,5.6,1
2902239,0.6432183333333333,83.50499,2019-03-01T17:27:00Z,29.636,34.619,5.5,1
2902200,12.769,65.158,2019-03-01T23:25:41Z,27.172,36.777,4.5,1
2902256,18.774,60.579,2019-03-02T07:53:00Z,25.146,36.289,0.0,4
